study,year,location,state,lat,lon,cultivar,planting_date,flowering,index
81,2023,Cruz Alta,RS,-28.6394,-53.6062,TBIO Toruk,2023-06-13,2023-09-03,20.6
82,2023,Jaboticaba,RS,-27.63,-53.2819,BRS Belajoia,2023-06-21,2023-08-28,11.2
83,2023,Coxilha,RS,-28.1306,-52.2903,BRS Belajoia,2023-07-18,2023-09-27,45.6
84,2023,Passo Fundo,RS,-28.2612,-52.4083,TBIO Toruk,2023-07-03,2023-09-20,66.5
85,2023,Santa Bárbara do Sul,RS,-28.3559,-53.2532,TBIO Calibre,2023-06-20,2023-09-08,57.5
86,2023,Ponta Grossa,PR,-25.0945,-50.1633,TBIO Ponteiro,2023-06-05,2023-08-28,6.35
87,2023,Santa Bárbara do Sul,RS,-28.3559,-53.2532,TBIO Ponteiro,2023-06-26,2023-09-11,42.93
88,2023,Cruz Alta,RS,-28.6394,-53.6062,TBIO Ponteiro,2023-07-04,2023-09-17,13.63
89,2023,Palmeira,PR,-25.4342,-49.9999,TBIO Ponteiro,2023-06-06,2023-09-03,0.65
90,2023,Passo Fundo,RS,-28.2612,-52.4083,TBIO Ponteiro,2023-07-18,2023-09-28,30.68
91,2023,Guarapuava,PR,-25.3935,-51.4562,TBIO Ponteiro,2023-06-19,2023-09-14,13.48
92,2024,Ponta Grossa,PR,-25.0945,-50.1633,BRS Belajoia,2024-05-31,2024-09-03,22.26
93,2024,Santa Bárbara do Sul,RS,-28.3559,-53.2532,TBIO Calibre,2024-07-17,2024-10-01,6.43
94,2024,Campo Mourão,PR,-24.046,-52.3838,TBIO Toruk,2024-05-16,2024-07-12,0.01
95,2024,Jaboticaba,RS,-27.63,-53.2819,BRS Belajoia,2024-06-14,2024-09-09,17.93
96,2024,Cruz Alta,RS,-28.6394,-53.6062,TBIO Audaz,2024-07-06,2024-09-25,1.28
97,2024,Bagé,RS,-31.3285,-54.1073,BRS Belajoia,2024-07-23,2024-10-21,2.43
98,2024,Palmeira,PR,-25.4342,-49.9999,BRS Coleiro,2024-04-11,2024-06-12,5.7
99,2024,Passo Fundo,RS,-28.2612,-52.4083,BRS Belajoia,2024-06-05,2024-09-14,19.3
100,2024,Passo Fundo,RS,-28.2612,-52.4083,TBIO Calibre,2024-07-19,2024-10-05,18.45
101,2024,Capão do Leão,RS,-31.7675,-52.4487,TBIO Ponteiro,2024-07-11,2024-10-15,10.99
102,1998,Passo Fundo,RS,-28.2612,-52.4083,BR35,NA,1998-08-23,8.8
103,1998,Passo Fundo,RS,-28.2612,-52.4083,"BR23,BR35",NA,1998-09-09,9.3
104,1998,Passo Fundo,RS,-28.2612,-52.4083,CEP24,NA,1998-09-17,4.8
105,1998,Passo Fundo,RS,-28.2612,-52.4083,"BR23,BR35",NA,1998-09-27,8.6
